library,file,ops/sec,filesize
commonmark,samples\block-bq-flat.md,92057.09657604685,262
showdown,samples\block-bq-flat.md,10017.15089776086,262
marked,samples\block-bq-flat.md,103112.28098492914,262
markdown-it,samples\block-bq-flat.md,143366.98723270258,262
markdown-wasm,samples\block-bq-flat.md,418560.9915991612,262
markdown-wasm-rs,samples\block-bq-flat.md,569564.6611059043,262
commonmark,samples\block-bq-nested.md,48944.6069942348,368
showdown,samples\block-bq-nested.md,3081.2983979307655,368
marked,samples\block-bq-nested.md,41305.23041175457,368
markdown-it,samples\block-bq-nested.md,75898.74923022736,368
markdown-wasm,samples\block-bq-nested.md,266779.8137027098,368
markdown-wasm-rs,samples\block-bq-nested.md,527186.4564442644,368
commonmark,samples\block-code.md,324807.99939426413,84
showdown,samples\block-code.md,22550.02268519818,84
marked,samples\block-code.md,365438.10207061685,84
markdown-it,samples\block-code.md,637767.5878073665,84
markdown-wasm,samples\block-code.md,846951.2605569785,84
markdown-wasm-rs,samples\block-code.md,797925.5851401839,84
commonmark,samples\block-fences.md,344907.7079150002,86
showdown,samples\block-fences.md,30062.238975317745,86
marked,samples\block-fences.md,431792.2159799546,86
markdown-it,samples\block-fences.md,411061.7642962059,86
markdown-wasm,samples\block-fences.md,641091.3115780592,86
markdown-wasm-rs,samples\block-fences.md,584403.5569272196,86
commonmark,samples\block-heading.md,67911.60505498532,132
showdown,samples\block-heading.md,12601.138053713858,132
marked,samples\block-heading.md,57310.88893549647,132
markdown-it,samples\block-heading.md,142615.24471699918,132
markdown-wasm,samples\block-heading.md,381005.0423974765,132
markdown-wasm-rs,samples\block-heading.md,405955.94703397213,132
commonmark,samples\block-hr.md,173758.97081431604,84
showdown,samples\block-hr.md,12707.492118095839,84
marked,samples\block-hr.md,116706.61790324445,84
markdown-it,samples\block-hr.md,213819.18824802467,84
markdown-wasm,samples\block-hr.md,741003.0593622532,84
markdown-wasm-rs,samples\block-hr.md,574699.324842338,84
commonmark,samples\block-html.md,72736.85081928392,315
showdown,samples\block-html.md,13888.241515714155,315
marked,samples\block-html.md,118685.88121927719,315
markdown-it,samples\block-html.md,115977.38005335958,315
markdown-wasm,samples\block-html.md,311264.74224295403,315
markdown-wasm-rs,samples\block-html.md,290790.4495649444,315
commonmark,samples\block-lheading.md,120475.5110116111,121
showdown,samples\block-lheading.md,17296.058020906108,121
marked,samples\block-lheading.md,124218.9275692926,121
markdown-it,samples\block-lheading.md,147378.0858180272,121
markdown-wasm,samples\block-lheading.md,559163.1187212268,121
markdown-wasm-rs,samples\block-lheading.md,829151.8273812508,121
commonmark,samples\block-list-flat.md,12180.222766601139,592
showdown,samples\block-list-flat.md,1298.3211542645574,592
marked,samples\block-list-flat.md,14986.120414501107,592
markdown-it,samples\block-list-flat.md,28423.87359269999,592
markdown-wasm,samples\block-list-flat.md,103684.85139587999,592
markdown-wasm-rs,samples\block-list-flat.md,84003.4225676631,592
commonmark,samples\block-list-nested.md,14914.510692760083,427
showdown,samples\block-list-nested.md,1425.4220054795198,427
marked,samples\block-list-nested.md,11248.488759610373,427
markdown-it,samples\block-list-nested.md,32542.39183716265,427
markdown-wasm,samples\block-list-nested.md,135934.7201525892,427
markdown-wasm-rs,samples\block-list-nested.md,106797.8134805359,427
commonmark,samples\block-ref-flat.md,26430.24047597826,489
showdown,samples\block-ref-flat.md,10828.83538966693,489
marked,samples\block-ref-flat.md,24367.556425286053,489
markdown-it,samples\block-ref-flat.md,10568.678921477953,489
markdown-wasm,samples\block-ref-flat.md,40828.83622620909,489
markdown-wasm-rs,samples\block-ref-flat.md,421454.5941437426,489
commonmark,samples\block-ref-nested.md,26246.276639544634,274
